% Model:              Helmholz_Coils_Beta_Release.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jun 30 2020, 22:20
% Dimension:          3
% Nodes:              30
% Expressions:        3
% Description:        Magnetic field, x component, Magnetic field, y component, Magnetic field, z component
% Length unit:        m
% X                       Y                        Z                        mf.Hx (A/m)              mf.Hy (A/m)              mf.Hz (A/m)
0                         0                        0.23826809115688558      2.770876282834931E-5     6.178389114688714E-4     0.8439700537563137
0                         0                        0.25                     3.0445081864871295E-4    -3.6885300457639947E-4   0.8364877440111627
0                         0                        0.23075120286508122      -3.9935026091832115E-5   4.0599882521145865E-4    0.8479761728895123
0                         0                        0.1804221302657903       5.348989053099255E-4     -5.95671557102767E-4     0.8742639561372895
0                         0                        0.22828367026195379      -6.924861657208826E-4    6.214972633128249E-4     0.8506999581796199
0                         0                        0.1467098150439492       -1.715778115655044E-4    -6.11601214267752E-4     0.8872409635812402
0                         0                        0.15201897919024926      -1.0282954568735977E-4   3.738933271813371E-4     0.8855539325982907
0                         0                        0.1419826873079833       -2.720321085530327E-4    1.4963765514545396E-4    0.8887199415007241
0                         0                        0.11444233664861903      1.664969789077146E-5     -3.0759877252255364E-5   0.8965850282374027
0                         0                        0.14126458232632005      -9.02481720867046E-5     1.591644631010493E-4     0.8895144696051809
0                         0                        0.09150332411951345      -1.2793526062711578E-4   3.5352713814815595E-5    0.9027071112875781
0                         0                        0.08837165957391818      1.7870495443971402E-4    5.563112692960912E-4     0.9031474042389775
0                         0                        0.088244910848508        1.80957295381202E-4      5.607524502269204E-4     0.9031768783569354
0                         0                        0.07870119502524175      3.6641539631541796E-4    -1.802730961340305E-4    0.9052907109035232
0                         0                        0.06522714141485886      -8.480578663825567E-5    1.2329357390376494E-4    0.9073584794159729
0                         0                        0                        -6.398154863202935E-4    -6.48897819954696E-4     0.9116113870198398
0                         0                        -0.10542867574470749     -2.1629606307998673E-4   -5.011084685241873E-4    0.8995463704911009
0                         0                        -0.10104106159734302     -1.1438735678951567E-4   -3.1983243992751817E-4   0.9004841891021577
0                         0                        -0.08698876617652784     -4.8795866553947795E-4   -9.978891338882795E-5    0.9030896804040028
0                         0                        -0.09086602214264144     3.569170680878904E-5     -9.785771198640898E-5    0.9024847252363222
0                         0                        -0.134880627998376       -1.7988556235251573E-4   -4.05135260670745E-5     0.8911066027774563
0                         0                        -0.10959047455016435     5.62700869914891E-5      1.7247785248825307E-4    0.8982819362063954
0                         0                        -0.13885504864779985     3.862880476688071E-6     -3.550724154413643E-5    0.8895738657604705
0                         0                        -0.15931105976407328     -3.660010164930351E-4    -5.695931956898184E-4    0.8824193163347
0                         0                        -0.25                    -2.2943205129539174E-4   -3.4558639366478956E-4   0.8368174431791016
0                         0                        -0.2440480278010566      -3.7153569743427406E-5   -1.0626651758522654E-4   0.8403482891142959
0                         0                        -0.17740485148092103     3.170552104571546E-4     1.1446072771563771E-4    0.8758589979283685
0                         0                        -0.17162797493650103     1.4342558789608387E-5    2.5059552377432556E-4    0.8775339832018398
0                         0                        -0.20965769065106302     -2.6573860793065423E-4   -1.2061318523966828E-4   0.8601947509430323
0                         0                        -0.23923072993538164     2.1903032673143766E-4    2.951060706336082E-4     0.8435531882325187
