% Model:              Helmholz_Coils_Beta_Release.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jun 30 2020, 22:30
% Dimension:          3
% Nodes:              56
% Expressions:        3
% Description:        Magnetic field, x component, Magnetic field, y component, Magnetic field, z component
% Length unit:        m
% X                       Y                        Z                        mf.Hx (A/m)              mf.Hy (A/m)              mf.Hz (A/m)
0                         0                        -0.45                    2.607179874564431E-4     -3.516236629149144E-4    0.6608556613393961
0                         0                        -0.4469864616405291      -1.2351195665159892E-4   -4.1632361446079135E-4   0.6618521061390972
0                         0                        -0.41975460547920135     1.9957480130192444E-4    8.084912906912678E-4     0.6685660185171132
0                         0                        -0.40963412256100096     2.8694383105775887E-5    -2.0768120280087302E-4   0.6699914533456701
0                         0                        -0.40912269765531417     4.0846381654628753E-4    4.812052758700611E-4     0.6705778586483793
0                         0                        -0.38457179709824246     -1.7329522561798367E-4   -5.324123577060369E-4    0.6735022914505957
0                         0                        -0.3389893210102944      6.577578564892644E-4     4.134793112206309E-4     0.6756349237197561
0                         0                        -0.3240574085147941      2.0569674337101262E-4    1.6325977914322576E-4    0.674775594279413
0                         0                        -0.31471598580334603     -2.077148424302859E-4    -4.839673978062743E-4    0.6746306022659283
0                         0                        -0.34520649045734675     9.945038598892448E-5     5.74544436995309E-4      0.6757173230056863
0                         0                        -0.23755972099403586     7.796766356838272E-5     -5.810998508937255E-5    0.665869503173371
0                         0                        -0.232928767410989       2.108439903917922E-6     1.1198542887099477E-4    0.6650872850065905
0                         0                        -0.2770466252501069      -4.2843473495547705E-5   1.4117754029241693E-4    0.6709135248122812
0                         0                        -0.2597194574476608      -6.926544199071054E-6    4.762259716439878E-5     0.6687688613484328
0                         0                        -0.21096237707944498     -9.648052042664274E-6    -3.321426868353531E-5    0.6615889609791926
0                         0                        -0.2386115058017768      5.965409650191918E-5     -4.8626050491367175E-5   0.6660285789015785
0                         0                        -0.24822447221855765     5.503172039535545E-5     -1.8735438304675223E-4   0.6672539622819001
0                         0                        -0.24186612434649318     1.0199250326974005E-4    -3.6406300712432123E-4   0.6663633782431472
